Machine,Start_date,Start_time,End_date,End_time,Uptime,Downtime,Fault,Stops_classification,Transformation,Component,Failure_mode,Stop_classification,Comment 
S,2021-05-06,13:55:00,2021-05-06,14:59:00,13,64,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
S,2021-05-06,12:40:00,2021-05-06,13:42:00,71,62,Machine Stopped by Operator,Planned Stop,Changeover,Brand Changeover,State SKU in comment,,
S,2021-05-06,11:11:00,2021-05-06,11:29:00,49,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-05-06,09:00:00,2021-05-06,10:22:00,0,82,Machine Stopped by Operator,Labour Organization,Contractor inefficiency,,,,
S,2021-05-06,08:03:00,2021-05-06,09:00:00,21,57,End Product,BFS,No Powder Supply,Starvation from MSG,,,
S,2021-05-06,07:37:00,2021-05-06,07:42:00,71,5,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-05-06,06:06:00,2021-05-06,06:26:00,161,20,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-05-06,03:08:00,2021-05-06,03:25:00,0,17,Machine Stopped by Operator,,,,,,
S,2021-05-06,02:55:00,2021-05-06,03:08:00,0,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-05-06,02:10:00,2021-05-06,02:55:00,72,45,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
S,2021-05-06,00:02:00,2021-05-06,00:58:00,87,56,Machine Stopped by Operator,Planned Stop,Changeover,Brand Changeover,State SKU in comment,,
S,2021-05-05,21:26:00,2021-05-05,22:35:00,64,69,Machine Stopped by Operator,End Of Line,Secondary Coding- Domino,Print head system,Blockage in printhead,,
S,2021-05-05,18:51:00,2021-05-05,20:22:00,0,91,Machine Stopped by Operator,Planned Stop,CIL,Spillage hopper,,,
S,2021-05-05,18:01:00,2021-05-05,18:51:00,0,50,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
S,2021-05-05,17:43:00,2021-05-05,18:01:00,42,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-05-05,16:12:00,2021-05-05,17:01:00,28,49,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
S,2021-05-05,15:38:00,2021-05-05,15:44:00,0,6,Machine Stopped by Operator,,,,,,
S,2021-05-05,15:04:00,2021-05-05,15:38:00,0,34,Machine Stopped by Operator,,,,,,
S,2021-05-05,10:04:00,2021-05-05,15:04:00,0,300,Machine Stopped by Operator,Planned Stop,CIL,Horizontal sealing,,,
S,2021-05-05,10:00:00,2021-05-05,10:04:00,21,4,Machine Stopped by Operator,Planned Stop,CIL,Imaje 9040,,,
S,2021-05-05,09:23:00,2021-05-05,09:39:00,34,16,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-05-05,08:03:00,2021-05-05,08:49:00,55,46,Machine Stopped by Operator,Planned Stop,Changeover,Size Changeover,State SKU in comment,,
S,2021-05-05,06:52:00,2021-05-05,07:08:00,80,16,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-05-05,05:17:00,2021-05-05,05:32:00,162,15,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-05-05,02:30:00,2021-05-05,02:35:00,7,5,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-05-05,02:19:00,2021-05-05,02:23:00,0,4,Machine Stopped by Operator,,,,,,
S,2021-05-05,00:51:00,2021-05-05,02:19:00,0,88,End Product,,,,,,
S,2021-05-05,00:02:00,2021-05-05,00:51:00,0,49,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
S,2021-05-04,22:51:00,2021-05-05,00:02:00,0,71,End Product,,,,,,
S,2021-05-04,22:42:00,2021-05-04,22:51:00,0,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-05-04,21:26:00,2021-05-04,22:42:00,0,76,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
S,2021-05-04,19:46:00,2021-05-04,21:26:00,0,100,End Product,BFS,No Powder Supply,Starvation from MSG,,,
S,2021-05-04,19:13:00,2021-05-04,19:46:00,0,33,Machine Stopped by Operator,Conveyor System,Main Conveyor,,,,Product trapped between main and inclined conveyors
S,2021-05-04,18:51:00,2021-05-04,19:13:00,4,22,Machine Stopped by Operator,Conveyor System,Main Conveyor,,,,Product trapped between main and inclined conveyors
S,2021-05-04,17:44:00,2021-05-04,18:47:00,0,63,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
S,2021-05-04,11:00:00,2021-05-04,17:44:00,20,404,Machine Stopped by Operator,Planned Stop,CIL,Dosing unit,,,
S,2021-05-04,10:24:00,2021-05-04,10:40:00,0,16,End Product,,,,,,
S,2021-05-04,10:04:00,2021-05-04,10:24:00,0,20,Machine Stopped by Operator,,,,,,
S,2021-05-04,08:03:00,2021-05-04,10:04:00,92,121,End Product,BFS,No Powder Supply,Starvation from MSG,,,
S,2021-05-04,06:13:00,2021-05-04,06:31:00,93,18,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-05-04,04:35:00,2021-05-04,04:40:00,40,5,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-05-04,03:15:00,2021-05-04,03:55:00,0,40,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
S,2021-05-04,02:55:00,2021-05-04,03:15:00,0,20,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-05-04,02:13:00,2021-05-04,02:55:00,0,42,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
S,2021-05-04,00:02:00,2021-05-04,02:13:00,0,131,Machine Stopped by Operator,Planned Stop,CIL,Markem unit,,,
S,2021-05-03,23:59:00,2021-05-04,00:02:00,68,3,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-05-03,22:38:00,2021-05-03,22:51:00,59,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-05-03,21:34:00,2021-05-03,21:39:00,0,5,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-05-03,20:43:00,2021-05-03,21:34:00,57,51,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
S,2021-05-03,13:57:00,2021-05-03,19:46:00,35,349,Machine Stopped by Operator,Planned Stop,CIL,Outfeed conveyor,,,
S,2021-05-03,12:40:00,2021-05-03,13:22:00,67,42,Machine Stopped by Operator,Planned Stop,Changeover,Size Changeover,State SKU in comment,,
S,2021-05-03,11:11:00,2021-05-03,11:33:00,6,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-05-03,10:33:00,2021-05-03,11:05:00,0,32,Machine Stopped by Operator,,,,,,
S,2021-05-03,10:04:00,2021-05-03,10:33:00,0,29,Machine Stopped by Operator,,,,,,
S,2021-05-03,09:50:00,2021-05-03,10:04:00,37,14,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
S,2021-05-03,08:58:00,2021-05-03,09:13:00,0,15,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-05-03,08:30:00,2021-05-03,08:58:00,0,28,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
S,2021-05-03,08:03:00,2021-05-03,08:30:00,43,27,Machine Stopped by Operator,,,,,,
S,2021-05-03,07:00:00,2021-05-03,07:20:00,0,20,Machine Stopped by Operator,Planned Stop,,,,,
S,2021-05-01,07:00:00,2021-05-03,07:00:00,0,2879,Machine Stopped by Operator,Planned Stop,Schedule Complete,,,,
S,2021-05-01,06:50:00,2021-05-01,07:00:00,3,10,Machine Stopped by Operator,Planned Stop,,,,,
S,2021-05-01,06:40:00,2021-05-01,06:47:00,156,7,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-05-01,03:51:00,2021-05-01,04:04:00,88,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-05-01,01:05:00,2021-05-01,02:23:00,12,78,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
S,2021-05-01,00:40:00,2021-05-01,00:53:00,165,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-30,21:26:00,2021-04-30,21:55:00,146,29,Machine Stopped by Operator,,,,,,
S,2021-04-30,18:51:00,2021-04-30,19:00:00,55,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-30,17:43:00,2021-04-30,17:56:00,0,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-30,16:29:00,2021-04-30,17:43:00,132,74,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
S,2021-04-30,13:55:00,2021-04-30,14:17:00,184,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-30,10:38:00,2021-04-30,10:51:00,16,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-04-30,10:04:00,2021-04-30,10:22:00,68,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-30,08:03:00,2021-04-30,08:56:00,142,53,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
S,2021-04-30,05:26:00,2021-04-30,05:41:00,0,15,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-30,05:23:00,2021-04-30,05:26:00,135,3,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-04-30,02:55:00,2021-04-30,03:08:00,27,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-04-30,02:18:00,2021-04-30,02:28:00,0,10,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-30,00:24:00,2021-04-30,02:18:00,0,114,End Product,,,,,,
S,2021-04-30,00:02:00,2021-04-30,00:24:00,0,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-29,22:51:00,2021-04-30,00:02:00,0,71,End Product,,,,,,
S,2021-04-29,22:38:00,2021-04-29,22:51:00,0,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-29,20:43:00,2021-04-29,22:38:00,86,115,End Product,BFS,No Powder Supply,Starvation from MSG,,,
S,2021-04-29,19:13:00,2021-04-29,19:17:00,0,4,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-29,18:51:00,2021-04-29,19:13:00,2,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-29,16:12:00,2021-04-29,18:49:00,40,157,End Product,BFS,No Powder Supply,Starvation from MSG,,,
S,2021-04-29,14:28:00,2021-04-29,15:32:00,46,64,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
S,2021-04-29,12:40:00,2021-04-29,13:42:00,76,62,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
S,2021-04-29,11:11:00,2021-04-29,11:24:00,49,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-29,10:04:00,2021-04-29,10:22:00,77,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-29,08:42:00,2021-04-29,08:47:00,161,5,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-04-29,05:43:00,2021-04-29,06:01:00,99,18,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-29,03:48:00,2021-04-29,04:04:00,63,16,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-04-29,02:30:00,2021-04-29,02:45:00,0,15,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-29,01:35:00,2021-04-29,02:30:00,15,55,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
S,2021-04-29,01:05:00,2021-04-29,01:20:00,23,15,Coder Fault,Planned Stop,Changeover,Ribbon Changeover,,,
S,2021-04-29,00:02:00,2021-04-29,00:42:00,38,40,Machine Stopped by Operator,Planned Stop,Changeover,Brand Changeover,State SKU in comment,,
S,2021-04-28,22:42:00,2021-04-28,23:24:00,0,42,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
S,2021-04-28,21:43:00,2021-04-28,22:42:00,0,59,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
S,2021-04-28,20:43:00,2021-04-28,21:43:00,59,60,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
S,2021-04-28,18:51:00,2021-04-28,19:44:00,17,53,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
S,2021-04-28,18:01:00,2021-04-28,18:34:00,0,33,Machine Stopped by Operator,,,,,,
S,2021-04-28,17:43:00,2021-04-28,18:01:00,0,18,Machine Stopped by Operator,,,,,,
S,2021-04-28,17:30:00,2021-04-28,17:43:00,197,13,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
S,2021-04-28,13:55:00,2021-04-28,14:13:00,0,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-28,13:40:00,2021-04-28,13:55:00,47,15,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-28,12:40:00,2021-04-28,12:53:00,25,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-28,11:11:00,2021-04-28,12:15:00,60,64,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
S,2021-04-28,09:51:00,2021-04-28,10:11:00,12,20,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-28,09:26:00,2021-04-28,09:39:00,74,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-04-28,08:03:00,2021-04-28,08:12:00,52,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-28,07:06:00,2021-04-28,07:11:00,65,5,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-04-28,05:56:00,2021-04-28,06:01:00,89,5,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-04-28,04:12:00,2021-04-28,04:27:00,115,15,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-28,02:10:00,2021-04-28,02:17:00,15,7,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-04-28,01:25:00,2021-04-28,01:55:00,0,30,Machine Stopped by Operator,,,,,,
S,2021-04-28,01:05:00,2021-04-28,01:25:00,0,20,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-28,00:40:00,2021-04-28,01:05:00,20,25,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
S,2021-04-28,00:02:00,2021-04-28,00:20:00,66,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-27,22:38:00,2021-04-27,22:56:00,17,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-27,21:26:00,2021-04-27,22:21:00,158,55,Machine Stopped by Operator,Conveyor System,Main Conveyor,,,,Product trapped between main and inclined conveyors
S,2021-04-27,17:56:00,2021-04-27,18:48:00,0,52,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
S,2021-04-27,17:43:00,2021-04-27,17:56:00,49,13,Machine Stopped by Operator,,,,,,
S,2021-04-27,16:12:00,2021-04-27,16:54:00,183,42,Machine Stopped by Operator,Planned Stop,Changeover,Size Changeover,State SKU in comment,,
S,2021-04-27,12:40:00,2021-04-27,13:09:00,37,29,Machine Stopped by Operator,Planned Stop,Changeover,Size Changeover,State SKU in comment,,
S,2021-04-27,12:02:00,2021-04-27,12:03:00,0,1,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-04-27,11:11:00,2021-04-27,12:02:00,123,51,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
S,2021-04-27,08:55:00,2021-04-27,09:08:00,43,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-27,08:03:00,2021-04-27,08:12:00,30,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-27,07:26:00,2021-04-27,07:33:00,78,7,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-04-27,05:48:00,2021-04-27,06:08:00,37,20,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-27,05:04:00,2021-04-27,05:11:00,65,7,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-04-27,03:46:00,2021-04-27,03:59:00,6,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-04-27,02:50:00,2021-04-27,03:40:00,0,50,Machine Stopped by Operator,,,,,,
S,2021-04-27,02:30:00,2021-04-27,02:50:00,0,20,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-27,02:25:00,2021-04-27,02:30:00,10,5,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
S,2021-04-27,02:10:00,2021-04-27,02:15:00,1,5,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-04-27,01:05:00,2021-04-27,02:09:00,101,64,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
S,2021-04-26,22:38:00,2021-04-26,23:24:00,37,46,Machine Stopped by Operator,Planned Stop,Changeover,Size Changeover,State SKU in comment,,
S,2021-04-26,21:26:00,2021-04-26,22:01:00,0,35,Machine Stopped by Operator,,,,,,
S,2021-04-26,20:43:00,2021-04-26,21:26:00,0,43,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
S,2021-04-26,19:04:00,2021-04-26,20:43:00,0,99,End Product,,,,,,
S,2021-04-26,18:51:00,2021-04-26,19:04:00,0,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-26,18:05:00,2021-04-26,18:51:00,0,46,End Product,,,,,,
S,2021-04-26,17:43:00,2021-04-26,18:05:00,0,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-26,16:28:00,2021-04-26,17:43:00,0,75,End Product,BFS,No Powder Supply,Starvation from MSG,,,
S,2021-04-26,14:17:00,2021-04-26,16:28:00,0,131,End Product,,,,,,
S,2021-04-26,13:55:00,2021-04-26,14:17:00,0,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-26,12:40:00,2021-04-26,13:55:00,12,75,End Product,BFS,No Powder Supply,Starvation from MSG,,,
S,2021-04-26,12:08:00,2021-04-26,12:28:00,35,20,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-26,11:11:00,2021-04-26,11:33:00,20,22,Machine Stopped by Operator,,,,,,
S,2021-04-26,10:50:00,2021-04-26,10:51:00,0,1,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-04-26,10:40:00,2021-04-26,10:50:00,0,10,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
S,2021-04-26,09:46:00,2021-04-26,10:40:00,0,54,End Product,,,,,,
S,2021-04-26,09:00:00,2021-04-26,09:46:00,0,46,Machine Stopped by Operator,End Of Line,Secondary Coding- Domino,Print head system,Blockage in printhead,,
S,2021-04-26,08:03:00,2021-04-26,09:00:00,43,57,End Product,BFS,No Powder Supply,Starvation from MSG,,,
S,2021-04-26,07:00:00,2021-04-26,07:20:00,0,20,Machine Stopped by Operator,Planned Stop,,,,,
S,2021-04-24,07:00:00,2021-04-26,07:00:00,0,2879,Machine Stopped by Operator,Planned Stop,Schedule Complete,,,,
S,2021-04-24,06:50:00,2021-04-24,07:00:00,139,10,Machine Stopped by Operator,Planned Stop,,,,,
S,2021-04-24,04:13:00,2021-04-24,04:31:00,48,18,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-24,02:10:00,2021-04-24,03:25:00,56,75,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
S,2021-04-24,00:55:00,2021-04-24,01:14:00,0,19,End Product,,,,,,
S,2021-04-24,00:02:00,2021-04-24,00:55:00,0,53,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
S,2021-04-23,22:51:00,2021-04-24,00:02:00,0,71,End Product,,,,,,
S,2021-04-23,22:38:00,2021-04-23,22:51:00,0,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-23,21:26:00,2021-04-23,22:38:00,25,72,End Product,BFS,No Powder Supply,Starvation from MSG,,,
S,2021-04-23,21:00:00,2021-04-23,21:01:00,0,1,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-23,16:12:00,2021-04-23,21:00:00,40,288,Machine Stopped by Operator,Planned Stop,CIL,Fischbein,,,
S,2021-04-23,14:49:00,2021-04-23,15:32:00,0,43,Machine Stopped by Operator,,,,,,
S,2021-04-23,14:29:00,2021-04-23,14:49:00,0,20,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-23,14:14:00,2021-04-23,14:29:00,8,15,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
S,2021-04-23,14:04:00,2021-04-23,14:06:00,0,2,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-04-23,13:55:00,2021-04-23,14:04:00,46,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-23,12:40:00,2021-04-23,13:09:00,100,29,Machine Stopped by Operator,Planned Stop,Changeover,Size Changeover,State SKU in comment,,
S,2021-04-23,10:44:00,2021-04-23,11:00:00,0,16,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-23,10:04:00,2021-04-23,10:44:00,22,40,Machine Stopped by Operator,Planned Stop,Changeover,Brand Changeover,State SKU in comment,,
S,2021-04-23,09:26:00,2021-04-23,09:42:00,43,16,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-04-23,08:03:00,2021-04-23,08:43:00,40,40,Machine Stopped by Operator,Planned Stop,Changeover,Brand Changeover,State SKU in comment,,
S,2021-04-23,07:07:00,2021-04-23,07:23:00,111,16,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-04-23,05:03:00,2021-04-23,05:16:00,73,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-23,00:02:00,2021-04-23,03:50:00,49,228,End Product,BFS,No Powder Supply,Starvation from MSG,,,
S,2021-04-22,22:38:00,2021-04-22,23:13:00,0,35,Machine Stopped by Operator,,,,,,
S,2021-04-22,21:45:00,2021-04-22,22:38:00,0,53,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
S,2021-04-22,21:03:00,2021-04-22,21:45:00,0,42,Machine Stopped by Operator,Planned Stop,Changeover,Brand Changeover,State SKU in comment,,
S,2021-04-22,20:43:00,2021-04-22,21:03:00,66,20,Machine Stopped by Operator,,,,,,
S,2021-04-22,18:51:00,2021-04-22,19:37:00,46,46,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
S,2021-04-22,17:43:00,2021-04-22,18:05:00,69,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-22,16:12:00,2021-04-22,16:34:00,29,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-22,15:39:00,2021-04-22,15:43:00,0,4,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
S,2021-04-22,14:46:00,2021-04-22,15:39:00,0,53,End Product,,,,,,
S,2021-04-22,14:21:00,2021-04-22,14:46:00,0,25,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
S,2021-04-22,12:23:00,2021-04-22,14:21:00,0,118,Machine Stopped by Operator,PSG Machine,Cutting and Perforation,Cylinder,Damaged cylinder seal,,
S,2021-04-22,11:20:00,2021-04-22,12:23:00,0,63,End Product,,,,,,
S,2021-04-22,11:11:00,2021-04-22,11:20:00,0,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-22,10:57:00,2021-04-22,11:11:00,0,14,End Product,BFS,No Powder Supply,Starvation from MSG,,,
S,2021-04-22,10:04:00,2021-04-22,10:57:00,45,53,Machine Stopped by Operator,Planned Stop,Changeover,Brand Changeover,State SKU in comment,,
S,2021-04-22,08:03:00,2021-04-22,09:19:00,138,76,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
S,2021-04-22,05:32:00,2021-04-22,05:45:00,8,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-22,05:17:00,2021-04-22,05:24:00,23,7,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-04-22,03:48:00,2021-04-22,04:54:00,0,66,End Product,,,,,,
S,2021-04-22,00:02:00,2021-04-22,03:48:00,0,226,Machine Stopped by Operator,Planned Stop,CIL,Front web system,,,
S,2021-04-21,21:26:00,2021-04-22,00:02:00,18,156,End Product,BFS,No Powder Supply,Starvation from MSG,,,
S,2021-04-21,20:43:00,2021-04-21,21:08:00,35,25,Machine Stopped by Operator,Planned Stop,Changeover,Size Changeover,State SKU in comment,,
S,2021-04-21,19:11:00,2021-04-21,20:08:00,0,57,End Product,,,,,,
S,2021-04-21,18:51:00,2021-04-21,19:11:00,0,20,Machine Stopped by Operator,,,,,,
S,2021-04-21,18:43:00,2021-04-21,18:51:00,0,8,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
S,2021-04-21,17:43:00,2021-04-21,18:43:00,0,60,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
S,2021-04-21,16:25:00,2021-04-21,17:43:00,0,78,End Product,,,,,,
S,2021-04-21,16:12:00,2021-04-21,16:25:00,0,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-21,16:02:00,2021-04-21,16:12:00,0,10,End Product,,,,,,
S,2021-04-21,11:11:00,2021-04-21,16:02:00,49,291,Machine Stopped by Operator,Planned Stop,CIL,Horizontal sealing,,,
S,2021-04-21,10:04:00,2021-04-21,10:22:00,108,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-21,08:03:00,2021-04-21,08:16:00,10,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
S,2021-04-21,07:38:00,2021-04-21,07:53:00,167,15,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-21,04:38:00,2021-04-21,04:51:00,15,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-21,04:16:00,2021-04-21,04:23:00,28,7,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
S,2021-04-21,02:30:00,2021-04-21,03:48:00,9,78,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
S,2021-04-21,02:10:00,2021-04-21,02:21:00,45,11,Coder Fault,Planned Stop,Changeover,Ribbon Changeover,,,
S,2021-04-21,01:05:00,2021-04-21,01:25:00,251,20,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
S,2021-04-20,20:52:00,2021-04-20,20:54:00,0,2,Machine Stopped by Operator,,,,,,
