Machine,Start_date,Start_time,End_date,End_time,Uptime,Downtime,Fault,Stops_classification,Transformation,Component,Failure_mode,Stop_classification,Comment
R,2021-06-24,08:02:00,2021-06-24,08:13:00,62,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-24,06:56:00,2021-06-24,07:00:00,103,4,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-24,05:04:00,2021-06-24,05:13:00,81,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-24,03:30:00,2021-06-24,03:43:00,22,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-24,02:55:00,2021-06-24,03:08:00,12,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-24,02:30:00,2021-06-24,02:43:00,15,13,Coder Fault,Planned Stop,Changeover,Ribbon Changeover,,,
R,2021-06-24,02:10:00,2021-06-24,02:15:00,8,5,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-24,00:40:00,2021-06-24,02:02:00,54,82,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-06-23,23:37:00,2021-06-23,23:46:00,39,9,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-23,22:38:00,2021-06-23,22:58:00,63,20,Machine Stopped by Operator,Planned Stop,Changeover,Size Changeover,State SKU in comment,,
R,2021-06-23,21:26:00,2021-06-23,21:35:00,84,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-23,20:43:00,2021-06-23,21:34:00,41,51,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-06-23,20:43:00,2021-06-24,02:56:00,41,373,Machine Stopped by Operator,Planned Stop,CIL,Dosing unit,,,
R,2021-06-23,19:53:00,2021-06-23,20:02:00,37,9,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-23,18:51:00,2021-06-23,19:16:00,83,25,Machine Stopped by Operator,,,,,,
R,2021-06-23,17:37:00,2021-06-23,18:52:00,9,75,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-06-23,16:12:00,2021-06-23,17:28:00,11,76,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
